Location,Year,Radius,Total,Total_km,Spillover_Year
Bikoro,1963,75,521075.3,521.0753,2018
Bikoro,1969,75,531847.4,531.8474,2018
Bikoro,1974,75,699545,699.545,2018
Bikoro,1981,75,686400.9,686.4009,2018
Bikoro,1989,75,674530.2,674.5302,2018
Bikoro,2003,75,684519.9,684.5199,2018
Bikoro,2007,75,675488.4,675.4884,2018
Bikoro,2019,75,684519.9,684.5199,2018
Booue,1963,75,399301.7,399.3017,1996
Booue,1969,75,390771.8,390.7718,1996
Booue,1974,75,417800.5,417.8005,1996
Booue,1981,75,477269.6,477.2696,1996
Booue,1989,75,465103.1,465.1031,1996
Booue,2003,75,449185,449.185,1996
Booue,2007,75,464732.9,464.7329,1996
Booue,2019,75,449676.8,449.6768,1996
Etoumbi,1963,75,429988.6,429.9886,2005
Etoumbi,1969,75,444738.4,444.7384,2005
Etoumbi,1974,75,444738.4,444.7384,2005
Etoumbi,1981,75,456437.4,456.4374,2005
Etoumbi,1989,75,445450,445.45,2005
Etoumbi,2003,75,447377.9,447.3779,2005
Etoumbi,2007,75,448652,448.652,2005
Etoumbi,2019,75,447377.9,447.3779,2005
Inkanamango,1963,75,622585.6,622.5856,2014
Inkanamango,1969,75,622858.7,622.8587,2014
Inkanamango,1974,75,613768.1,613.7681,2014
Inkanamango,1981,75,625468.2,625.4682,2014
Inkanamango,1989,75,625017.5,625.0175,2014
Inkanamango,2003,75,622858.7,622.8587,2014
Inkanamango,2007,75,628618.2,628.6182,2014
Inkanamango,2019,75,622858.7,622.8587,2014
Kikwit,1963,75,979378.6,979.3786,1995
Kikwit,1969,75,937969,937.969,1995
Kikwit,1974,75,1089661,1089.661,1995
Kikwit,1981,75,1192528,1192.528,1995
Kikwit,1989,75,1196505,1196.505,1995
Kikwit,2003,75,1165112,1165.112,1995
Kikwit,2007,75,1213757,1213.757,1995
Kikwit,2019,75,1165112,1165.112,1995
Leubo07,1963,75,654759.6,654.7596,2007
Leubo07,1969,75,683785.3,683.7853,2007
Leubo07,1974,75,671541.4,671.5414,2007
Leubo07,1981,75,687569.6,687.5696,2007
Leubo07,1989,75,690708.9,690.7089,2007
Leubo07,2003,75,669051.7,669.0517,2007
Leubo07,2007,75,690895.4,690.8954,2007
Leubo07,2019,75,672706.6,672.7066,2007
Leubo08,1963,75,679330.5,679.3305,2008
Leubo08,1969,75,673040.2,673.0402,2008
Leubo08,1974,75,672491.3,672.4913,2008
Leubo08,1981,75,676948.2,676.9482,2008
Leubo08,1989,75,681828.6,681.8286,2008
Leubo08,2003,75,661333.6,661.3336,2008
Leubo08,2007,75,673663.1,673.6631,2008
Leubo08,2019,75,661333.6,661.3336,2008
Likati,1963,75,522130.5,522.1305,2017
Likati,1969,75,464590.3,464.5903,2017
Likati,1974,75,504811,504.811,2017
Likati,1981,75,440482.1,440.4821,2017
Likati,1989,75,531592.6,531.5926,2017
Likati,2003,75,517066,517.066,2017
Likati,2007,75,536370.7,536.3707,2017
Likati,2019,75,517066,517.066,2017
Mayibout,1963,75,193325.7,193.3257,1996
Mayibout,1969,75,194852.9,194.8529,1996
Mayibout,1974,75,189513.8,189.5138,1996
Mayibout,1981,75,236285.7,236.2857,1996
Mayibout,1989,75,189902.7,189.9027,1996
Mayibout,2003,75,199269.5,199.2695,1996
Mayibout,2007,75,193789.4,193.7894,1996
Mayibout,2019,75,199269.5,199.2695,1996
Mbomo,1963,75,411169.8,411.1698,2003
Mbomo,1969,75,400304.4,400.3044,2003
Mbomo,1974,75,424710.9,424.7109,2003
Mbomo,1981,75,429243.1,429.2431,2003
Mbomo,1989,75,418877.5,418.8775,2003
Mbomo,2003,75,424993.3,424.9933,2003
Mbomo,2007,75,431465.6,431.4656,2003
Mbomo,2019,75,424993.3,424.9933,2003
Mbomo2,1963,75,457315.3,457.3153,2003
Mbomo2,1969,75,436322.9,436.3229,2003
Mbomo2,1974,75,458423.1,458.4231,2003
Mbomo2,1981,75,460756.2,460.7562,2003
Mbomo2,1989,75,467082.3,467.0823,2003
Mbomo2,2003,75,465693.9,465.6939,2003
Mbomo2,2007,75,454051.3,454.0513,2003
Mbomo2,2019,75,465693.9,465.6939,2003
Mbandaka,1963,75,328343.7,328.3437,2020
Mbandaka,1969,75,336953.2,336.9532,2020
Mbandaka,1974,75,359425.8,359.4258,2020
Mbandaka,1981,75,314069.7,314.0697,2020
Mbandaka,1989,75,330054.7,330.0547,2020
Mbandaka,2003,75,349522.2,349.5222,2020
Mbandaka,2007,75,337335.6,337.3356,2020
Mbandaka,2019,75,349522.2,349.5222,2020
MekamboMbomo,1963,75,337343.5,337.3435,2001
MekamboMbomo,1969,75,307952.2,307.9522,2001
MekamboMbomo,1974,75,391291.6,391.2916,2001
MekamboMbomo,1981,75,367471.7,367.4717,2001
MekamboMbomo,1989,75,406040.7,406.0407,2001
MekamboMbomo,2003,75,400959.3,400.9593,2001
MekamboMbomo,2007,75,393607.5,393.6075,2001
MekamboMbomo,2019,75,400959.3,400.9593,2001
Mekouka,1963,75,60546.51,60.54651,1994
Mekouka,1969,75,69266.11,69.26611,1994
Mekouka,1974,75,60038.67,60.03867,1994
Mekouka,1981,75,104717.1,104.7171,1994
Mekouka,1989,75,60864.86,60.86486,1994
Mekouka,2003,75,76302.12,76.30212,1994
Mekouka,2007,75,68354.62,68.35462,1994
Mekouka,2019,75,76302.12,76.30212,1994
NorthKivu,1963,75,682372.8,682.3728,2018
NorthKivu,1969,75,565291.6,565.2916,2018
NorthKivu,1974,75,532624.3,532.6243,2018
NorthKivu,1981,75,534383.1,534.3831,2018
NorthKivu,1989,75,546192.9,546.1929,2018
NorthKivu,2003,75,528250.1,528.2501,2018
NorthKivu,2007,75,540911.4,540.9114,2018
NorthKivu,2019,75,528250.1,528.2501,2018
Tandala,1963,75,681025.6,681.0256,1977
Tandala,1969,75,717082.9,717.0829,1977
Tandala,1974,75,710388.7,710.3887,1977
Tandala,1981,75,751635.6,751.6356,1977
Tandala,1989,75,835952.8,835.9528,1977
Tandala,2003,75,775521.1,775.5211,1977
Tandala,2007,75,805115.8,805.1158,1977
Tandala,2019,75,775521.1,775.5211,1977
Meliandou,1975,75,700560.6,700.5606,2013
Meliandou,1989,75,773278.4,773.2784,2013
Meliandou,1991,75,797270,797.27,2013
Meliandou,2003,75,831093.6,831.0936,2013
Meliandou,2019,75,841291.9,841.2919,2013
Yambuku,1963,75,339831.4,339.8314,1976
Yambuku,1969,75,365465.1,365.4651,1976
Yambuku,1974,75,371562.7,371.5627,1976
Yambuku,1981,75,375327,375.327,1976
Yambuku,1989,75,735478.6,735.4786,1976
Yambuku,2003,75,721756.3,721.7563,1976
Yambuku,2007,75,716389.5,716.3895,1976
Yambuku,2019,75,721756.3,721.7563,1976
