ID,Spillover,Country,Year,TotalCase,Cases1st100Days,River,Road,Size,Order
1,Yambuku,DRC,1976,318,36,324.138931,371.562736,1,4
2,Tandala,DRC,1977,2,2,260.365592,710.388687,1,4
3,Mekouka,Gabon,1994,52,52,853.008078,60.864859,2,3
4,Kikwit,DRC,1995,315,285,599.202448,1196.505531,1,4
5,Booue,Gabon,1996,60,24,783.959937,465.103104,2,3
6,Mayibout,Gabon,1996,37,37,875.78131,189.903781,2,3
7,MekamboMbomo,Gabon,2001,122,60,618.518657,400.959317,2,3
8,Mbomo1,RC,2003,143,143,663.20319,424.993322,4,1
9,Mbomo2,RC,2003,35,35,645.470106,465.693921,4,1
10,Etoumbi,RC,2005,12,12,665.95659,447.377863,4,1
11,Luebo07,DRC,2007,264,17,450.656309,690.895435,1,4
12,Luebo08,DRC,2008,32,32,523.864919,673.663059,1,4
13,Meliandou,Guinea/SL/Liberia,2013,28652,176,596.282668,841.295489,3,2
14,Inkanamango,DRC,2014,66,66,561.341089,622.85869,1,4
15,Likati,DRC,2017,8,8,537.534735,517.066328,1,4
16,North Kivu,DRC,2018,3481,44,501.8578764,544.2451924,1,4
17,Bikoro,DRC,2018,53,53,453.378596,684.520116,1,4
18,Mbandaka,DRC,2020,130,110,687.221641,349.522219,1,4
