Spillover_ID,Spillover,Spillover_Year,Radius,First100dayCases,OC,OD,River,Road,TotalRiverRoad,TotInter
1,Yambuku,Yambuku 1976,25,36,318,112,55.058082,57.692604,112.750686,1
2,Tandala,Tandala 1977,25,1,1,42,15.853572,152.191315,168.044887,3
3,Mekouka,Mekouka 1994,25,52,52,113,161.137066,0,161.137066,1
4,Kikwit,Kikwit 1995,25,285,315,233,112.917561,165.782,278.699561,11
5,Mayibout,Mayibout 1996,25,37,37,90,153.772509,0,153.772509,3
6,Booue,Booue 1996,25,24,60,231,68.759944,61.385473,130.145417,1
7,MekamboMbomo,Mekambo Mbomo 2001,25,60,122,197,59.778647,92.124578,151.903225,1
8,Mbomo1,Mbomo1 2003,25,143,143,162,64.41357,117.378501,181.792071,3
9,Mbomo2,Mbomo2 2003,25,35,35,94,57.454643,112.782908,170.237551,3
10,Etoumbi,Etoumbi 2005,25,12,12,81,59.994167,115.002558,174.996725,3
11,Luebo07,Luebo 2007,25,17,264,174,88.138334,98.495122,186.633456,5
12,Luebo08,Luebo 2008,25,32,32,81,41.341812,115.077005,156.418817,3
13,Meliandou,Meliandou 2013,25,176,28652,888,103.81093,104.659321,208.470251,4
14,Inkanamango,Inkanamango 2014,25,66,66,118,40.658926,72.936475,113.595401,2
15,Likati,Likati 2017,25,8,8,71,50.603027,100.575962,151.178989,1
16,Bikoro,Bikoro 2018,25,53,53,111,42.539064,113.599209,156.138273,2
17,North Kivu,North Kivu 2019,25,44,3481,694,38.84564083,73.96694868,112.8125895,1
18,Mbandaka,Mbandaka 2020,25,110,130,184,183.183473,32.562704,215.746177,6
1,Yambuku,Yambuku 1976,50,36,318,112,107.771361,165.395416,273.166777,1
2,Tandala,Tandala 1977,50,1,1,42,100.481745,379.521626,480.003371,7
3,Mekouka,Mekouka 1994,50,52,52,113,440.439399,0,440.439399,5
4,Kikwit,Kikwit 1995,50,285,315,233,275.813406,499.388111,775.201517,18
5,Mayibout,Mayibout 1996,50,37,37,90,510.245589,47.811098,558.056687,6
6,Booue,Booue 1996,50,24,60,231,361.360118,261.703885,623.064003,10
7,MekamboMbomo,Mekambo Mbomo 2001,50,60,122,197,349.923186,193.389124,543.31231,3
8,Mbomo1,Mbomo1 2003,50,143,143,162,225.372779,211.262881,436.63566,3
9,Mbomo2,Mbomo2 2003,50,35,35,94,315.279583,264.21805,579.497633,6
10,Etoumbi,Etoumbi 2005,50,12,12,81,271.830475,228.772719,500.603194,5
11,Luebo07,Luebo 2007,50,17,264,174,246.220475,288.212182,534.432657,9
12,Luebo08,Luebo 2008,50,32,32,81,163.475954,327.900834,491.376788,8
13,Meliandou,Meliandou 2013,50,176,28652,888,310.932804,468.175738,779.108542,14
14,Inkanamango,Inkanamango 2014,50,66,66,118,209.15531,303.135538,512.290848,9
15,Likati,Likati 2017,50,8,8,71,205.930894,251.066627,456.997521,7
16,Bikoro,Bikoro 2018,50,53,53,111,125.07305,445.87354,570.94659,11
17,North Kivu,North Kivu 2019,50,44,3481,694,228.8707103,362.2378761,591.1085863,6
