ID,Spillover,Year of spillover,Cases 100 days,Cases total,Days total,road_length,river_length,total_network,Diameter
16,Bik,2018,53,53,111,13.33514629,11.12846082,24.46360711,10
16,Bik,2018,53,53,111,24.29894012,21.69042978,45.9893699,20
16,Bik,2018,53,53,111,41.43485729,32.2724474,73.70730469,30
16,Bik,2018,53,53,111,69.84734286,37.37165241,107.2189953,40
16,Bik,2018,53,53,111,113.5992088,42.53906415,156.138273,50
16,Bik,2018,53,53,111,185.1800359,48.04923822,233.2292741,60
16,Bik,2018,53,53,111,272.6959422,53.60346917,326.2994114,70
16,Bik,2018,53,53,111,341.8477911,64.71131452,406.5591056,80
16,Bik,2018,53,53,111,395.9735127,104.2125939,500.1861066,90
16,Bik,2018,53,53,111,445.8735401,125.0730502,570.9465903,100
16,Bik,2018,53,53,111,506.8189589,166.4431026,673.2620615,110
16,Bik,2018,53,53,111,545.9499223,232.7985498,778.7484721,120
16,Bik,2018,53,53,111,608.7876525,301.341317,910.1289695,130
16,Bik,2018,53,53,111,640.9820009,379.3771322,1020.359133,140
16,Bik,2018,53,53,111,684.5201167,453.3785958,1137.898712,150
16,Bik,2018,53,53,111,702.4565136,525.6118155,1228.068329,160
16,Bik,2018,53,53,111,737.0433852,600.5516697,1337.595055,170
16,Bik,2018,53,53,111,759.1633166,672.5077927,1431.671109,180
16,Bik,2018,53,53,111,765.0908746,783.0759479,1548.166822,190
16,Bik,2018,53,53,111,799.5306642,848.5382646,1648.068929,200
16,Bik,2018,53,53,111,828.4735683,940.8953472,1769.368915,210
16,Bik,2018,53,53,111,895.0280012,1044.75506,1939.783061,220
16,Bik,2018,53,53,111,919.5561508,1129.536878,2049.093029,230
16,Bik,2018,53,53,111,954.3133462,1278.849258,2233.162604,240
16,Bik,2018,53,53,111,1023.715628,1401.478089,2425.193716,250
16,Bik,2018,53,53,111,1059.056294,1518.267436,2577.32373,260
16,Bik,2018,53,53,111,1084.568415,1630.394959,2714.963374,270
16,Bik,2018,53,53,111,1111.821472,1791.026274,2902.847745,280
16,Bik,2018,53,53,111,1134.555158,1914.662712,3049.217869,290
16,Bik,2018,53,53,111,1175.74344,2060.191391,3235.93483,300
16,Bik,2018,53,53,111,1228.95119,2195.140148,3424.091337,310
16,Bik,2018,53,53,111,1257.726195,2298.042831,3555.769025,320
16,Bik,2018,53,53,111,1286.425407,2400.111794,3686.537201,330
16,Bik,2018,53,53,111,1339.774485,2501.143052,3840.917537,340
16,Bik,2018,53,53,111,1381.400911,2603.832938,3985.233849,350
16,Bik,2018,53,53,111,1441.004277,2696.956116,4137.960392,360
16,Bik,2018,53,53,111,1480.504824,2803.379153,4283.883976,370
16,Bik,2018,53,53,111,1552.938551,2910.600537,4463.539088,380
16,Bik,2018,53,53,111,1628.007986,3025.073976,4653.081962,390
16,Bik,2018,53,53,111,1699.673639,3165.125217,4864.798856,400
6,Booue,1996,18,60,231,11.16534378,0,11.16534378,10
6,Booue,1996,18,60,231,28.62813088,21.76285788,50.39098876,20
6,Booue,1996,18,60,231,39.70365098,33.27226695,72.97591793,30
6,Booue,1996,18,60,231,50.56755881,44.8799523,95.44751112,40
6,Booue,1996,18,60,231,61.38547347,68.7599437,130.1454172,50
6,Booue,1996,18,60,231,85.75597274,117.4717807,203.2277534,60
6,Booue,1996,18,60,231,128.0481087,177.4754021,305.5235108,70
6,Booue,1996,18,60,231,152.0141671,241.0128259,393.026993,80
6,Booue,1996,18,60,231,227.3569389,292.6646975,520.0216364,90
6,Booue,1996,18,60,231,261.7038861,361.3601181,623.0640042,100
6,Booue,1996,18,60,231,309.9866883,435.7625374,745.7492257,110
6,Booue,1996,18,60,231,358.7985878,534.9350682,893.7336561,120
6,Booue,1996,18,60,231,401.9306043,612.0717113,1014.002316,130
6,Booue,1996,18,60,231,436.3476921,693.4719018,1129.819594,140
6,Booue,1996,18,60,231,465.103105,783.959937,1249.063042,150
6,Booue,1996,18,60,231,491.8337677,862.6273823,1354.46115,160
6,Booue,1996,18,60,231,524.3569557,972.1208392,1496.477795,170
6,Booue,1996,18,60,231,572.1048794,1064.859972,1636.964851,180
6,Booue,1996,18,60,231,613.1613263,1145.73243,1758.893756,190
6,Booue,1996,18,60,231,661.6014237,1266.206097,1927.807521,200
6,Booue,1996,18,60,231,719.2152584,1408.387064,2127.602322,210
6,Booue,1996,18,60,231,781.6589834,1533.930387,2315.589371,220
6,Booue,1996,18,60,231,848.4639684,1686.132492,2534.596461,230
6,Booue,1996,18,60,231,940.2537443,1815.206314,2755.460058,240
6,Booue,1996,18,60,231,1001.046234,1965.176194,2966.222429,250
6,Booue,1996,18,60,231,1068.322733,2116.72559,3185.048324,260
